Rank,Stadium,Capacity,Region,Country,City,Image,Home_Team
88,Raymond James Stadium,"65,847",North America,United States,"Tampa, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/RaymondJamesStadium2022.jpg/250px-RaymondJamesStadium2022.jpg,"Tampa Bay Buccaneers, South Florida Bulls football, Tampa Bay Vipers"
89,Hard Rock Stadium,"65,326",North America,United States,"Miami Gardens, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Interior_of_updated_Hard_Rock_Stadium.jpg/250px-Interior_of_updated_Hard_Rock_Stadium.jpg,"Miami Dolphins, Miami Hurricanes football"
90,Olympic Stadium (Montreal),"65,255",North America,Canada,Montreal,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Montreal_Impact_CONCACAF_FINAL.jpg/250px-Montreal_Impact_CONCACAF_FINAL.jpg,CF Montréal
91,Basra Sports City,"65,227",West Asia,Iraq,Basra,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Basra_International_Stadium_Opening_2.JPG/250px-Basra_International_Stadium_Opening_2.JPG,Iraq national football team
92,Camping World Stadium,"65,000",North America,United States,"Orlando, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Citrus_Bowl%2C_Construction_progress.jpg/250px-Citrus_Bowl%2C_Construction_progress.jpg,
93,Alamodome,"65,000",North America,United States,San Antonio,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Alamodome_Conference_USA_Championship.jpg/250px-Alamodome_Conference_USA_Championship.jpg,UTSA Roadrunners football
94,Ford Field,"65,000",North America,United States,Detroit,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/FordField-2008NCAAtournament-MidwestRegional.jpg/250px-FordField-2008NCAAtournament-MidwestRegional.jpg,Detroit Lions
95,Ibn Batouta Stadium,"65,000",Africa,Morocco,Tangier,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Stade_Ibn_Batuta%2C_Tanger.jpg/250px-Stade_Ibn_Batuta%2C_Tanger.jpg,"IR Tanger, Morocco national team"
96,Estádio da Luz,"64,642",Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/LuzLissabon.jpg/250px-LuzLissabon.jpg,Benfica
97,Stade du 5 Juillet,"64,200",Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Stade_5_Juillet_1962.jpg/250px-Stade_5_Juillet_1962.jpg,Algeria national football team
98,Castelão (Ceará),"63,903",South America,Brazil,Fortaleza,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Castel%C3%A3o_Arena_%285%29.jpg/250px-Castel%C3%A3o_Arena_%285%29.jpg,"Ceará SC, Fortaleza EC"
99,Saitama Stadium 2002,"63,700",East Asia,Japan,"Saitama, Saitama",https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Saitama_Stadium_Panorama.jpg/250px-Saitama_Stadium_Panorama.jpg,"Urawa Red Diamonds, Saitama Wild Knights"
100,Ellis Park Stadium,"62,567",Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg/250px-Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg,"Orlando Pirates FC, Emirates Johannesburg Lions"
101,Tottenham Hotspur Stadium,"62,303",Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Spurs_stadium_January_2020.jpg/250px-Spurs_stadium_January_2020.jpg,Tottenham Hotspur
102,Veltins-Arena,"62,271",Europe,Germany,Gelsenkirchen,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/080110_schalke_arena_germany.JPG/250px-080110_schalke_arena_germany.JPG,FC Schalke 04
103,Yizhong Sports Center,"62,000",East Asia,China,Qingdao,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Qingdao_Guoxin_Stadium.jpg/250px-Qingdao_Guoxin_Stadium.jpg,Qingdao Jonoon FC
104,Mineirão,"61,846",South America,Brazil,Belo Horizonte,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg/250px-Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg,"Atlético Mineiro, Cruzeiro EC"
105,King Fahd International Stadium,"61,781",West Asia,Saudi Arabia,Riyadh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg/250px-%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg,"Saudi Arabia national football team, Al-Hilal, Al-Nassr, Al-Shabab"
106,Soldier Field,"61,500",North America,United States,Chicago,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/The_Refurbished_Soldier_Field.jpg/250px-The_Refurbished_Soldier_Field.jpg,Chicago Bears
107,Nanjing Olympic Sports Center,"61,443",East Asia,China,Nanjing,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg/250px-Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg,
108,Anfield,"61,276",Europe,England,Liverpool,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg/250px-Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg,Liverpool FC
109,Estadio Benito Villamarín,"60,720",Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Estadio_Benito_Villamar%C3%ADn_2018001.jpg/250px-Estadio_Benito_Villamar%C3%ADn_2018001.jpg,Real Betis
110,Abuja Stadium,"60,491",Africa,Nigeria,Abuja,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Football_heaven.jpg/250px-Football_heaven.jpg,Nigeria national football team
111,MHPArena,"60,469",Europe,Germany,Stuttgart,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Neckarstadion_2011.jpg/250px-Neckarstadion_2011.jpg,VfB Stuttgart
112,Celtic Park,"60,411",Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Celtic_park_2.jpg/250px-Celtic_park_2.jpg,Celtic FC
113,Estadio Monumental Virgen de Chapi,"60,370",South America,Peru,Arequipa,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/OutsideUNSA.jpg/250px-OutsideUNSA.jpg,FBC Melgar
114,Emirates Stadium,"60,338",Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Emirates_Stadium_-_East_stand_Club_Level.jpg/250px-Emirates_Stadium_-_East_stand_Club_Level.jpg,Arsenal
115,Shenzhen Universiade Sports Centre,"60,334",East Asia,China,Shenzhen,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg/250px-%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg,
116,Estadio Centenario,"60,235",South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Estadio_Centenario_2021.jpg/250px-Estadio_Centenario_2021.jpg,Uruguay national football team
117,Estádio do Arruda,"60,044",South America,Brazil,Recife,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Arruda_em_novembro_de_2013.JPG/250px-Arruda_em_novembro_de_2013.JPG,Santa Cruz FC
118,Stade Léopold Sédar Senghor,"60,000",Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg/250px-Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg,"Senegal national football team, ASC Jeanne d'Arc"
119,Al Bayt Stadium,"60,000",West Asia,Qatar,Al Khor,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Al_Bayt_Stadium_architecture.jpg/250px-Al_Bayt_Stadium_architecture.jpg,
120,Benjamin Mkapa National Stadium,"60,000",Africa,Tanzania,Dar es Salaam,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tanzania_National_Main_Stadium_Aerial.jpg/250px-Tanzania_National_Main_Stadium_Aerial.jpg,"Tanzania national football team, Young Africans"
121,Hefei Olympic Sports Center Stadium,"60,000",East Asia,China,Hefei,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Hefei_Olympic_Sports_Center_Stadium.jpg/250px-Hefei_Olympic_Sports_Center_Stadium.jpg,Anhui Jiufang
122,Jaber Al-Ahmad International Stadium,"60,000",West Asia,Kuwait,Kuwait City,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Jaber_Al-Ahmad_International_Stadium_2019_local.png/250px-Jaber_Al-Ahmad_International_Stadium_2019_local.png,Kuwait national football team
123,Hammadi Agrebi Stadium,"60,000",Africa,Tunisia,Tunis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Mozambique-Tunisia_match_2009.jpg/250px-Mozambique-Tunisia_match_2009.jpg,Tunisia national football team
124,"Jawaharlal Nehru Stadium, Delhi","60,000",South Asia,India,New Delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Jawaharlal_Nehru_Stadium%2C_New_Delhi.png/250px-Jawaharlal_Nehru_Stadium%2C_New_Delhi.png,
125,Mogadishu Stadium,"60,000",Africa,Somalia,Mogadishu,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Mogadishustadium.jpg/250px-Mogadishustadium.jpg,Somalia national football team
126,National Heroes Stadium,"60,000",Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Inauguration_of_Edgar_Lungu.jpg/250px-Inauguration_of_Edgar_Lungu.jpg,Zambian national football team
127,Autzen Stadium,"60,000",North America,United States,"Eugene, Oregon",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Autzen_Stadium_at_night.jpg/250px-Autzen_Stadium_at_night.jpg,
128,Odi Stadium,"60,000",Africa,South Africa,Mabopane,,
129,Morodok Techo National Stadium,"60,000",Southeast Asia,Cambodia,Phnom Penh,,Cambodia national football team
130,Shenyang Olympic Sports Center Stadium,"60,000",East Asia,China,Shenyang,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg/250px-Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg,
131,Optus Stadium,"60,000",Oceania,Australia,Perth,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Perth_Stadium_opening_210118_gnangarra-10.jpg/250px-Perth_Stadium_opening_210118_gnangarra-10.jpg,"Perth Glory FC, Fremantle Dockers, West Coast Eagles"
132,National Sports Stadium (Zimbabwe),"60,000",Africa,Zimbabwe,Harare,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/2003_Harare_Stadium%2C_Zimbabwe_557109164.jpg/250px-2003_Harare_Stadium%2C_Zimbabwe_557109164.jpg,Zimbabwe national football team
133,Estadio Monumental Isidro Romero Carbo,"59,283",South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Estadio_Monumental_de_Barcelona.jpg/250px-Estadio_Monumental_de_Barcelona.jpg,Barcelona Sporting Club
134,Parc Olympique Lyonnais,"59,186",Europe,France,Décines-Charpieu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Stade_Lumi%C3%A8re.jpg/250px-Stade_Lumi%C3%A8re.jpg,Olympique Lyonnais
135,Chongqing Olympic Sports Center,"58,680",East Asia,China,Chongqing,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Chongqing_Olympic_Stadium.jpg/250px-Chongqing_Olympic_Stadium.jpg,
136,Kazimierz Górski National Stadium,"58,580",Europe,Poland,Warsaw,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/National_Stadium_panorama.jpg/250px-National_Stadium_panorama.jpg,Poland national football team
137,Stadio San Nicola,"58,270",Europe,Italy,Bari,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Nuoviseggiolinisannicola.jpg/250px-Nuoviseggiolinisannicola.jpg,SSC Bari
138,Commanders Field,"58,000",North America,United States,"Landover, Maryland",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/FedexField2014.jpg/250px-FedexField2014.jpg,Washington Commanders
139,Waldstadion (Frankfurt),"58,000",Europe,Germany,Frankfurt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG/250px-Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG,Eintracht Frankfurt
140,Estadio de La Cartuja,"57,619",Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg/250px-Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg,
141,Carter–Finley Stadium,"57,583",North America,United States,"Raleigh, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Carter_Finley_Stadium_at_Sunset.jpg/250px-Carter_Finley_Stadium_at_Sunset.jpg,NC State Wolfpack football
142,La Bombonera,"57,200",South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/La_Bombonera.jpg/250px-La_Bombonera.jpg,CA Boca Juniors
143,Volksparkstadion,"57,030",Europe,Germany,Hamburg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Volksparkstadion_Panorama.jpg/250px-Volksparkstadion_Panorama.jpg,Hamburger SV
144,Estadio Mario Alberto Kempes,"57,000",South America,Argentina,"Córdoba, Argentina",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Estadio_Kempes_luego_de_finalizar_un_partido.jpg/250px-Estadio_Kempes_luego_de_finalizar_un_partido.jpg,"Talleres de Córdoba, some Belgrano de Córdoba matches."
145,Jinan Olympic Sports Center Stadium,"56,808",East Asia,China,Jinan,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/JinanOlympic.JPG/250px-JinanOlympic.JPG,Shandong Taishan
146,Estadio Jalisco,"56,713",North America,Mexico,Guadalajara,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Estadio_Jalisco_06022022.jpg/250px-Estadio_Jalisco_06022022.jpg,Atlas
147,Commonwealth Stadium (Edmonton),"56,302",North America,Canada,Edmonton,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Commonwealth_Stadium.jpg/250px-Commonwealth_Stadium.jpg,"Edmonton Elks, Canadian men's and women's national teams"
148,Dodger Stadium,"56,000",North America,United States,Los Angeles,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg/250px-Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg,Los Angeles Dodgers
149,19 May 1956 Stadium,"56,000",Africa,Algeria,Annaba,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Annaba_Stadium.jpg/250px-Annaba_Stadium.jpg,USM Annaba
150,Estadi Olímpic Lluís Companys,"55,926",Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg/250px-Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg,
151,El Cilindro,"55,880",South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Racing_Club_vs._Corinthians_-_CONMEBOL_Sudamericana_2024.jpg/250px-Racing_Club_vs._Corinthians_-_CONMEBOL_Sudamericana_2024.jpg,Racing
152,Arena do Grêmio,"55,662",South America,Brazil,Porto Alegre,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Arena_do_Gr%C3%AAmio.jpg/250px-Arena_do_Gr%C3%AAmio.jpg,Grêmio FBPA
153,Arena Națională,"55,634",Europe,Romania,Bucharest,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Stadionul_National_-_National_Arena_3.jpg/250px-Stadionul_National_-_National_Arena_3.jpg,Romania national football team
154,Red Star Stadium,"55,538",Europe,Serbia,Belgrade,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Zvezda_stadion.jpg/250px-Zvezda_stadion.jpg,"Red Star Belgrade, Serbia national football team"
155,Silesian Stadium,"55,211",Europe,Poland,Chorzów,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Widok_bramka.jpg/250px-Widok_bramka.jpg,"Poland national football team, Ruch Chorzów"
156,City of Manchester Stadium,"55,097",Europe,England,"Manchester, North West England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Etihad_Stadium.jpg/250px-Etihad_Stadium.jpg,Manchester City
157,Moi International Sports Centre,"55,000",Africa,Kenya,Nairobi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Inside_the_Kasarani_Stadium.jpg/250px-Inside_the_Kasarani_Stadium.jpg,Kenya national football team
158,Estadio Mestalla,"55,000",Europe,Spain,"Valencia, Spain",https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG/250px-CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG,Valencia CF
159,"National Stadium, Singapore","55,000",Southeast Asia,Singapore,Singapore,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/SingaporeNationalStadiumJapanBrazilFootball.jpg/250px-SingaporeNationalStadiumJapanBrazilFootball.jpg,Singapore national football team
160,National Stadium (Kaohsiung),"55,000",East Asia,Taiwan,Kaohsiung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/The_Main_Stadium_for_2009_World_Games_panorama.jpg/250px-The_Main_Stadium_for_2009_World_Games_panorama.jpg,Chinese Taipei national football team
161,Helong Stadium,"55,000",East Asia,China,Changsha,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Helong_Stadium.jpg/250px-Helong_Stadium.jpg,
162,Cape Town Stadium,"55,000",Africa,South Africa,Cape Town,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Cape_Town_Stadium_Inside.jpg/250px-Cape_Town_Stadium_Inside.jpg,"Cape Town City FC, DHL Western Cape Stormers"
163,Plovdiv Stadium,"55,000",Europe,Bulgaria,Plovdiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Plovdiv_Stadium.JPG/250px-Plovdiv_Stadium.JPG,
164,Bobby Dodd Stadium,"55,000",North America,United States,Atlanta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/BDS2013.jpg/250px-BDS2013.jpg,Georgia Tech Yellow Jackets football
165,Johan Cruyff Arena,"54,990",Europe,Netherlands,Amsterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ajax_0_Chelsea_1_%2823Oct19%29.jpg/250px-Ajax_0_Chelsea_1_%2823Oct19%29.jpg,AFC Ajax
166,Tianhe Stadium,"54,856",East Asia,China,Guangzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Tianhe_Stadium.jpg/250px-Tianhe_Stadium.jpg,
167,Stadio San Paolo,"54,726",Europe,Italy,Naples,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg/250px-Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg,SSC Napoli
168,Tianjin Olympic Center Stadium,"54,696",East Asia,China,Tianjin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Tianjin_Olympic_Center_Stadium.jpg/250px-Tianjin_Olympic_Center_Stadium.jpg,Tianjin Teda
169,Merkur Spiel-Arena,"54,600",Europe,Germany,Düsseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/LTU_arena_panorama.jpg/250px-LTU_arena_panorama.jpg,Fortuna Düsseldorf
170,Boris Paichadze Dinamo Arena,"54,549",West Asia,Georgia (country),Tbilisi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg/250px-Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg,"Georgia national football team, FC Dinamo Tbilisi"
171,Wuhan Sports Center Stadium,"54,357",East Asia,China,Wuhan,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Wuhan_Sport_Centre_01.jpg/250px-Wuhan_Sport_Centre_01.jpg,
172,BC Place,"54,320",North America,Canada,Vancouver,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/BC_Place_2015_Women%27s_FIFA_World_Cup.jpg/250px-BC_Place_2015_Women%27s_FIFA_World_Cup.jpg,"Vancouver Whitecaps FC, BC Lions"
173,Yankee Stadium,"54,251",North America,United States,New York City,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/YankeeStadium-9-21-22-1.jpg/250px-YankeeStadium-9-21-22-1.jpg,"New York Yankees, New York City FC"
174,Hrazdan Stadium,"54,208",West Asia,Armenia,Yerevan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/HrazdanArmeniaTurkey.JPG/250px-HrazdanArmeniaTurkey.JPG,"FC Ararat Yerevan, Ulisses FC"
175,Borussia-Park,"54,057",Europe,Germany,Mönchengladbach,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Borussia-Park_DEU-FRA_2011.jpg/250px-Borussia-Park_DEU-FRA_2011.jpg,Borussia Mönchengladbach
176,Moses Mabhida Stadium,"54,000",Africa,South Africa,Durban,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/FIFA_World_Cup_2010_Netherlands_Japan.jpg/250px-FIFA_World_Cup_2010_Netherlands_Japan.jpg,"AmaZulu FC, Cell C Durban Sharks"
177,Nef Stadium,"53,978",Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Galatasaray_Arena_North-West_Corner.jpg/250px-Galatasaray_Arena_North-West_Corner.jpg,Galatasaray
178,Busan Asiad Main Stadium,"53,864",East Asia,South Korea,Busan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/BusanAsiadStadium.jpg/250px-BusanAsiadStadium.jpg,Busan IPark
179,Mangueirão,"53,645",South America,Brazil,Belém,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Mangueir%C3%A3o_em_2023.jpg/250px-Mangueir%C3%A3o_em_2023.jpg,"Paysandu SC, Clube do Remo, Tuna Luso Brasileira, SC Belem"
